Locations of bus and train stops of station-visits,time of day of station-visits,action at this station,number of station-visits per day
Aft Jurong East St 11,14:30,alighting,1.6129032258064515
Aft Jurong East St 11,15:30,alighting,3.225806451612903
Aft Jurong East St 11,15:30,boarding,1.6129032258064515
Aft Jurong East St 11,16:00,alighting,3.225806451612903
Aft Jurong East St 11,16:00,boarding,3.225806451612903
Aft Jurong East St 11,16:30,alighting,3.225806451612903
Aft Jurong East St 11,16:30,boarding,1.6129032258064515
Aft Jurong East St 11,17:00,alighting,1.6129032258064515
Aft Jurong East St 11,17:00,boarding,3.225806451612903
Aft Jurong East St 11,17:30,alighting,9.67741935483871
Aft Jurong East St 11,17:30,boarding,1.6129032258064515
Aft Jurong East St 11,18:00,alighting,11.290322580645162
Aft Jurong East St 11,18:00,boarding,8.064516129032258
Aft Jurong East St 11,18:30,alighting,9.67741935483871
Aft Jurong East St 11,18:30,boarding,1.6129032258064515
Aft Jurong East St 11,19:00,alighting,3.225806451612903
Aft Jurong East St 11,19:00,boarding,1.6129032258064515
Aft Jurong East St 11,19:30,alighting,1.6129032258064515
Aft Jurong East St 11,19:30,boarding,3.225806451612903
Aft Jurong East St 11,20:00,alighting,1.6129032258064515
Aft Jurong East St 11,20:00,boarding,1.6129032258064515
Aft Jurong East St 11,20:30,boarding,3.225806451612903
Aft Jurong East St 11,21:00,alighting,1.6129032258064515
Aft Jurong East St 11,21:00,boarding,1.6129032258064515
Aft Jurong East St 11,22:00,boarding,3.225806451612903
Aft Jurong East St 11,22:30,boarding,4.838709677419355
Aft Jurong Town Hall Rd,00:00,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,06:00,alighting,4.838709677419355
Aft Jurong Town Hall Rd,06:30,alighting,6.451612903225806
Aft Jurong Town Hall Rd,06:30,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,07:00,alighting,8.064516129032258
Aft Jurong Town Hall Rd,07:00,boarding,3.225806451612903
Aft Jurong Town Hall Rd,07:30,alighting,12.903225806451612
Aft Jurong Town Hall Rd,07:30,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,08:00,alighting,30.64516129032258
Aft Jurong Town Hall Rd,08:00,boarding,4.838709677419355
Aft Jurong Town Hall Rd,08:30,alighting,11.290322580645162
Aft Jurong Town Hall Rd,09:30,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,10:00,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,11:00,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,12:00,alighting,4.838709677419355
Aft Jurong Town Hall Rd,12:00,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,13:00,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,13:30,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,13:30,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,14:00,alighting,3.225806451612903
Aft Jurong Town Hall Rd,14:00,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,14:30,alighting,1.6129032258064515
Aft Jurong Town Hall Rd,14:30,boarding,1.6129032258064515
Aft Jurong Town Hall Rd,15:00,alighting,3.225806451612903
Aft Jurong Town Hall Rd,15:00,boarding,1.6129032258064515
