X,Y,id,Name,Type
103.746191327130674,1.321280150683528,1,Calvary Pandan Bible-Presbyterian Church,C
103.746184196753092,1.321757758912046,2,Galilee Bible-Presbyterian Church,C
103.741528060196629,1.339179703472722,3,Masjid Almukminin Mosque,M
103.738675909166631,1.341410901045132,4,Sri Arulmigu Murugan Temple,B
