X,Y,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,DESCRIPTIO,HYPERLINK,NAME,PHOTOURL,ADDRESSFLO,ADDRESSUNI
103.747155986924199,1.330096670568294,962,,,609930,2 INTERNATIONAL BUSINESS PARK #01 - 08 STRATEGY THE SINGAPORE 609930,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=PT8814,SAFARI HOUSE PRESCHOOL JURONG,,,
103.742666857250398,1.338436396190608,992,,,600208,Blk 208 JURONG EAST STREET 21 #01 - 189 SINGAPORE 600208,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=ST0094,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST BLK 208 (CC),,,
103.746245538954682,1.3416819959465,993,,,600271,Blk 271 TOH GUAN ROAD #01 - 111 SINGAPORE 600271,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=ST0060,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST BLK 271 (CC),,,
103.744636424853411,1.335904570267926,1075,,,609607,80 JURONG EAST STREET 21 #03 - 02 DEVAN NAIR INSTITUTE SINGAPORE 609607,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=WP1109,"THE CATERPILLAR&#x27;S COVE PTE. LTD.",,,
103.740986923738973,1.321587380017047,1116,,,600041,Blk 41 TEBAN GARDENS ROAD #01 - 352 SINGAPORE 600041,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=ST0065,PCF SPARKLETOTS PRESCHOOL @ AYER RAJAH BLK 41 (CC),,,
103.742605875321246,1.346054603403079,1126,,,650178,Blk 178 BUKIT BATOK WEST AVENUE 8 #01 - 217 SINGAPORE 650178,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=ST0109,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK BLK 178 (CC),,,
103.750270950827215,1.324800206846297,1210,,,609915,9 INTERNATIONAL BUSINESS PARK MIWORLD SINGAPORE 609915,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=WP0743,THE KIDZ ZONE PTE LTD,,,
103.737014747310212,1.338281240243989,1279,,,600108,Blk 108 JURONG EAST STREET 13 #01 - 266 SINGAPORE 600108,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=ST0061,PCF SPARKLETOTS PRESCHOOL @ YUHUA BLK 108 (CC),,,
103.740931530044421,1.340364334161474,1280,,,600233,Blk 233 JURONG EAST STREET 21 #01 - 410 SINGAPORE 600233,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=ST0050,PCF SPARKLETOTS PRESCHOOL @ YUHUA BLK 233 (CC),,,
103.741478764474493,1.343741046770911,1281,,,600264,Blk 264 JURONG EAST STREET 24 #01 - 523 SINGAPORE 600264,Child Care Services,http://www.childcarelink.gov.sg/ccls/chdcentpart/ChdCentPartLnk.jsp?centreCd=ST0051,PCF SPARKLETOTS PRESCHOOL @ YUHUA BLK 264 (CC),,,
