X,Y,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,DESCRIPTIO,NAME,PHOTOURL,ADDRESSFLO,ADDRESSUNI
103.743421593144802,1.346443112122884,3,,,650183,Blk 183 Bukit Batok West Avenue 8 #01-101 Singapore,,Fei Yue Neighbourhood Link (Bukit Batok),,,
103.747635904610419,1.321301300108996,52,,,609342,150A Pandan Gardens Singapore,,St Luke's Eldercare Ltd (Ayer Rajah),,,
103.738825039499332,1.33868396438951,83,,,600210,Blk 210 Jurong East Street 21 #01-389 Singapore,,Loving Heart Multi-Service Centre,,,
