"shapeid","x","y"
"0","103.748154991","1.34531581003"
"0","103.748147012","1.34531048626"
"0","103.748088731","1.34532595787"
"0","103.748008057","1.34535676669"
"0","103.747929863","1.34539365292"
"0","103.747854652","1.34543620962"
"0","103.747783798","1.34548583859"
"0","103.747780146","1.34548856847"
"0","103.748154991","1.34531581003"
"1","103.748088731","1.34532595787"
"1","103.748147012","1.34531048626"
"1","103.748154991","1.34531581003"
"1","103.748380633","1.34521181659"
"1","103.748513685","1.34513732442"
"1","103.748407679","1.3451374762"
"1","103.748319876","1.34514150025"
"1","103.748098411","1.34518335546"
"1","103.748013486","1.34520984671"
"1","103.747924769","1.34524608957"
"1","103.747843634","1.34528635982"
"1","103.747769747","1.34532966537"
"1","103.747697526","1.34537951043"
"1","103.747308047","1.34565645795"
"1","103.747213225","1.3457308339"
"1","103.747419789","1.34565464936"
"1","103.747780146","1.34548856847"
"1","103.747783798","1.34548583859"
"1","103.747854652","1.34543620962"
"1","103.747929863","1.34539365292"
"1","103.748008057","1.34535676669"
"1","103.748088731","1.34532595787"
"2","103.751157803","1.34331994254"
"2","103.750754207","1.34292788059"
"2","103.750527374","1.34305629701"
"2","103.750836604","1.34335705454"
"2","103.750970509","1.34348706139"
"2","103.75101437","1.3434524938"
"2","103.751157803","1.34331994254"
"3","103.754608815","1.33858850761"
"3","103.754593265","1.33859633682"
"3","103.754424284","1.3386809391"
"3","103.754271437","1.33875785027"
"3","103.75411842","1.33883518919"
"3","103.753965998","1.33891210036"
"3","103.753916484","1.33893686294"
"3","103.753850101","1.33897396681"
"3","103.75373529","1.33903813671"
"3","103.753721395","1.33904606481"
"3","103.753634389","1.33909964822"
"3","103.753627597","1.33910339297"
"3","103.753620804","1.33910713772"
"3","103.753613995","1.33911087975"
"3","103.753607747","1.33911558043"
"3","103.753601112","1.33911964261"
"3","103.753594479","1.33912366953"
"3","103.753587827","1.33912769554"
"3","103.753581193","1.33913172336"
"3","103.753574542","1.3391357159"
"3","103.753567891","1.33913974191"
"3","103.753561239","1.33914373356"
"3","103.753554587","1.3391477261"
"3","103.753547936","1.33915171775"
"3","103.753541267","1.33915570939"
"3","103.753534597","1.33915970103"
"3","103.753527928","1.3391636574"
"3","103.753521259","1.33916764905"
"3","103.75351459","1.33917160542"
"3","103.753507904","1.33917556179"
"3","103.753501199","1.33917951816"
"3","103.753494512","1.33918347453"
"3","103.753487826","1.33918739564"
"3","103.753481139","1.33919135201"
"3","103.753474435","1.33919527311"
"3","103.753467731","1.33919919421"
"3","103.753461027","1.33920311531"
"3","103.753454322","1.33920700024"
"3","103.753447617","1.33921092134"
"3","103.753440896","1.33921480717"
"3","103.753434192","1.33921872827"
"3","103.75342747","1.3392226141"
"3","103.753420749","1.33922649993"
"3","103.753414027","1.33923034958"
"3","103.753407287","1.33923423632"
"3","103.753400548","1.33923808597"
"3","103.753393827","1.3392419718"
"3","103.753387087","1.33924582146"
"3","103.75338033","1.33924967292"
"3","103.753373591","1.3392534873"
"3","103.753366834","1.33925733786"
"3","103.753360095","1.33926115315"
"3","103.752966109","1.33948560595"
"3","103.752667613","1.33965466957"
"3","103.75225741","1.33988707106"
"3","103.752209004","1.33991451236"
"3","103.752263465","1.34001271178"
"3","103.752311096","1.34003852391"
"3","103.752634077","1.34021539198"
"3","103.753404451","1.34076812852"
"3","103.753508666","1.34061220304"
"3","103.752717074","1.34004457853"
"3","103.752630068","1.33999738596"
"3","103.752535344","1.33994633149"
"3","103.75282278","1.33978185536"
"3","103.752998173","1.33968246255"
"3","103.75318782","1.33947173399"
"3","103.754559548","1.33869534599"
"3","103.754608815","1.33858850761"
"4","103.754559548","1.33869534599"
"4","103.75318782","1.33947173399"
"4","103.752998173","1.33968246255"
"4","103.75282278","1.33978185536"
"4","103.752535344","1.33994633149"
"4","103.752630068","1.33999738596"
"4","103.752717074","1.34004457853"
"4","103.753508666","1.34061220304"
"4","103.753752329","1.34024763509"
"4","103.754269305","1.33932475983"
"4","103.754559548","1.33869534599"
"5","103.752548393","1.34190845183"
"5","103.752489381","1.34194457017"
"5","103.751687895","1.34239932702"
"5","103.750754207","1.34292788059"
"5","103.751157803","1.34331994254"
"5","103.751791306","1.34273449903"
"5","103.752509498","1.34195777643"
"5","103.752548393","1.34190845183"
"6","103.748787978","1.344983755"
"6","103.748562661","1.34498379047"
"6","103.74856215","1.34495570093"
"6","103.748436621","1.34495523531"
"6","103.748437753","1.34498376802"
"6","103.748317399","1.34498750696"
"6","103.748209194","1.34500030081"
"6","103.74810231","1.34502202891"
"6","103.747997824","1.34505182402"
"6","103.747895737","1.3450905724"
"6","103.747797325","1.34513818366"
"6","103.747740652","1.3451698163"
"6","103.747702391","1.34519205324"
"6","103.747341458","1.34542738297"
"6","103.74720392","1.34553147937"
"6","103.747159403","1.34556078006"
"6","103.747113599","1.34558155438"
"6","103.747072427","1.34558809327"
"6","103.747063041","1.34558958423"
"6","103.747012578","1.34558788766"
"6","103.746963577","1.34557683188"
"6","103.746918525","1.34555748141"
"6","103.746874634","1.34552802202"
"6","103.747071794","1.34578299613"
"6","103.747213225","1.3457308339"
"6","103.747308047","1.34565645795"
"6","103.747697526","1.34537951043"
"6","103.747769747","1.34532966537"
"6","103.747843634","1.34528635982"
"6","103.747924769","1.34524608957"
"6","103.748013486","1.34520984671"
"6","103.748098411","1.34518335546"
"6","103.748319876","1.34514150025"
"6","103.748407679","1.3451374762"
"6","103.748513685","1.34513732442"
"6","103.748787978","1.344983755"
"7","103.745976277","1.34484997952"
"7","103.745500593","1.34523381939"
"7","103.745399682","1.34531538931"
"7","103.74523848","1.34532816211"
"7","103.74444433","1.34539107682"
