xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.744804,1.3327057
103.74561,1.3327057
103.74561,1.3335168
103.744804,1.3335168
103.744804,1.3327057
103.74561,1.3327057
103.74642,1.3327057
103.74642,1.3335168
103.74561,1.3335168
103.74561,1.3327057
103.744804,1.3335168
103.74561,1.3335168
103.74561,1.334328
103.744804,1.334328
103.744804,1.3335168
103.74561,1.3335168
103.74642,1.3335168
103.74642,1.334328
103.74561,1.334328
103.74561,1.3335168
