xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.741035,1.3316666
103.741844,1.3316666
103.741844,1.3324778
103.741035,1.3324778
103.741035,1.3316666
103.741844,1.3316666
103.74265,1.3316666
103.74265,1.3324778
103.741844,1.3324778
103.741844,1.3316666
103.741035,1.3324778
103.741844,1.3324778
103.741844,1.333289
103.741035,1.333289
103.741035,1.3324778
103.741844,1.3324778
103.74265,1.3324778
103.74265,1.333289
103.741844,1.333289
103.741844,1.3324778
103.74161,1.3264321
103.74242,1.3264321
103.74242,1.3272433
103.74161,1.3272433
103.74161,1.3264321
103.74242,1.3264321
103.743225,1.3264321
103.743225,1.3272433
103.74242,1.3272433
103.74242,1.3264321
103.74161,1.3272433
103.74242,1.3272433
103.74242,1.3280545
103.74161,1.3280545
103.74161,1.3272433
103.74242,1.3272433
103.743225,1.3272433
103.743225,1.3280545
103.74242,1.3280545
103.74242,1.3272433
