xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.744804,1.3327057
103.74561,1.3327057
103.74561,1.3335168
103.744804,1.3335168
103.744804,1.3327057
103.74561,1.3327057
103.74642,1.3327057
103.74642,1.3335168
103.74561,1.3335168
103.74561,1.3327057
103.744804,1.3335168
103.74561,1.3335168
103.74561,1.334328
103.744804,1.334328
103.744804,1.3335168
103.74561,1.3335168
103.74642,1.3335168
103.74642,1.334328
103.74561,1.334328
103.74561,1.3335168
103.74054,1.3318206
103.74135,1.3318206
103.74135,1.3326317
103.74054,1.3326317
103.74054,1.3318206
103.74135,1.3318206
103.74216,1.3318206
103.74216,1.3326317
103.74135,1.3326317
103.74135,1.3318206
103.74054,1.3326317
103.74135,1.3326317
103.74135,1.3334429
103.74054,1.3334429
103.74054,1.3326317
103.74135,1.3326317
103.74216,1.3326317
103.74216,1.3334429
103.74135,1.3334429
103.74135,1.3326317
103.74119,1.3324748
103.742,1.3324748
103.742,1.333286
103.74119,1.333286
103.74119,1.3324748
103.742,1.3324748
103.742805,1.3324748
103.742805,1.333286
103.742,1.333286
103.742,1.3324748
103.74119,1.333286
103.742,1.333286
103.742,1.3340973
103.74119,1.3340973
103.74119,1.333286
103.742,1.333286
103.742805,1.333286
103.742805,1.3340973
103.742,1.3340973
103.742,1.333286
103.741104,1.3323938
103.742,1.3323938
103.742,1.333286
103.741104,1.333286
103.741104,1.3323938
103.742,1.3323938
103.74288,1.3323938
103.74288,1.333286
103.742,1.333286
103.742,1.3323938
103.741104,1.333286
103.742,1.333286
103.742,1.3341783
103.741104,1.3341783
103.741104,1.333286
103.742,1.333286
103.74288,1.333286
103.74288,1.3341783
103.742,1.3341783
103.742,1.333286
103.74102,1.3323045
103.742,1.3323045
103.742,1.333286
103.74102,1.333286
103.74102,1.3323045
103.742,1.3323045
103.74297,1.3323045
103.74297,1.333286
103.742,1.333286
103.742,1.3323045
103.74102,1.333286
103.742,1.333286
103.742,1.3342675
103.74102,1.3342675
103.74102,1.333286
103.742,1.333286
103.74297,1.333286
103.74297,1.3342675
103.742,1.3342675
103.742,1.333286
103.74092,1.3322062
103.742,1.3322062
103.742,1.333286
103.74092,1.333286
103.74092,1.3322062
103.742,1.3322062
103.74307,1.3322062
103.74307,1.333286
103.742,1.333286
103.742,1.3322062
103.74092,1.333286
103.742,1.333286
103.742,1.3343657
103.74092,1.3343657
103.74092,1.333286
103.742,1.333286
103.74307,1.333286
103.74307,1.3343657
103.742,1.3343657
103.742,1.333286
103.74081,1.3320984
103.742,1.3320984
103.742,1.333286
103.74081,1.333286
103.74081,1.3320984
103.742,1.3320984
103.74318,1.3320984
103.74318,1.333286
103.742,1.333286
103.742,1.3320984
103.74081,1.333286
103.742,1.333286
103.742,1.3344737
103.74081,1.3344737
103.74081,1.333286
103.742,1.333286
103.74318,1.333286
103.74318,1.3344737
103.742,1.3344737
103.742,1.333286
103.74069,1.3319795
103.742,1.3319795
103.742,1.333286
103.74069,1.333286
103.74069,1.3319795
103.742,1.3319795
103.7433,1.3319795
103.7433,1.333286
103.742,1.333286
103.742,1.3319795
103.74069,1.333286
103.742,1.333286
103.742,1.3345925
103.74069,1.3345925
103.74069,1.333286
103.742,1.333286
103.7433,1.333286
103.7433,1.3345925
103.742,1.3345925
103.742,1.333286
103.74057,1.331849
103.742,1.331849
103.742,1.333286
103.74057,1.333286
103.74057,1.331849
103.742,1.331849
103.74343,1.331849
103.74343,1.333286
103.742,1.333286
103.742,1.331849
103.74057,1.333286
103.742,1.333286
103.742,1.3347231
103.74057,1.3347231
103.74057,1.333286
103.742,1.333286
103.74343,1.333286
103.74343,1.3347231
103.742,1.3347231
103.742,1.333286
103.740425,1.3317052
103.742,1.3317052
103.742,1.333286
103.740425,1.333286
103.740425,1.3317052
103.742,1.3317052
103.743576,1.3317052
103.743576,1.333286
103.742,1.333286
103.742,1.3317052
103.740425,1.333286
103.742,1.333286
103.742,1.3348668
103.740425,1.3348668
103.740425,1.333286
103.742,1.333286
103.743576,1.333286
103.743576,1.3348668
103.742,1.3348668
103.742,1.333286
103.740265,1.3315471
103.742,1.3315471
103.742,1.333286
103.740265,1.333286
103.740265,1.3315471
103.742,1.3315471
103.74373,1.3315471
103.74373,1.333286
103.742,1.333286
103.742,1.3315471
103.740265,1.333286
103.742,1.333286
103.742,1.335025
103.740265,1.335025
103.740265,1.333286
103.742,1.333286
103.74373,1.333286
103.74373,1.335025
103.742,1.335025
103.742,1.333286
