xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.73746,1.3309737
103.738266,1.3309737
103.738266,1.331785
103.73746,1.331785
103.73746,1.3309737
103.738266,1.3309737
103.739075,1.3309737
103.739075,1.331785
103.738266,1.331785
103.738266,1.3309737
103.73746,1.331785
103.738266,1.331785
103.738266,1.3325961
103.73746,1.3325961
103.73746,1.331785
103.738266,1.331785
103.739075,1.331785
103.739075,1.3325961
103.738266,1.3325961
103.738266,1.331785
