FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,Total_Leng,Shape_Leng
291,1,- Location 291,2,2,295,869.2561093845311,869.2573169420765
1941,1,PARC OASIS - Location 1941,2,1,297,335.6614396829575,335.6619449187874
1110,1,- Location 1110,2,1,300,83.96415149069126,83.96423673580657
1941,1,PARC OASIS - Location 1941,1,1,301,531.9468611281286,531.9476573740595
1109,1,IVORY HEIGHTS - Location 1109,2,1,302,363.8739413548957,363.874468295729
291,1,- Location 291,2,1,305,236.6529912631055,236.65333243861443
291,1,- Location 291,1,1,306,223.28901815658963,223.2893786924825
291,1,- Location 291,1,1,307,440.5774897360178,440.57815869361457
1109,1,- Location 1109,2,1,308,51.22985903736229,51.22992651356542
496,1,- Location 496,1,1,309,172.61106461603953,172.61134475592226
496,1,- Location 496,2,1,310,131.1494872892409,131.14974278357334
291,1,- Location 291,1,1,311,294.67198947158244,294.672460171397
2930,1,- Location 2930,2,2,312,154.15807951705375,154.1582876821127
1135,1,- Location 1135,2,2,317,153.32109144153236,153.32131177304066
2930,1,- Location 2930,1,2,318,98.84068862772506,98.84087356799328
2930,1,- Location 2930,2,2,319,125.0768720113831,125.0770427316108
2595,1,- Location 2595,1,2,320,104.26561404206795,104.26571651690804
289,1,- Location 289,2,2,323,169.00692661496888,169.00717040320453
289,1,- Location 289,1,1,324,190.45005201156022,190.4503178679534
1135,1,IVORY HEIGHTS - Location 1135,1,1,325,242.86954696066286,242.8698981606361
2471,1,- Location 2471,1,2,326,174.53297709665762,174.533239119128
2471,1,- Location 2471,2,1,327,123.75814755850271,123.75824925712323
2957,1,- Location 2957,1,1,329,309.1922942952122,309.1927017702866
289,1,- Location 289,1,1,330,230.95118890019637,230.9515004249543
2736,1,- Location 2736,2,2,331,69.59215776799867,69.59229985966049
1597,1,- Location 1597,2,2,332,47.004437553934146,47.00451218574145
2471,1,- Location 2471,2,2,339,294.0645368186645,294.06488305720524
1596,1,- Location 1596,2,1,340,186.26952238175917,186.26977850175638
368,1,- Location 368,1,2,350,194.2073362848894,194.20759615356167
2471,1,- Location 2471,2,2,351,445.2205206223904,445.22112557351323
284,1,- Location 284,2,2,352,262.1169568902068,262.1172460375921
2766,1,- Location 2766,2,2,353,163.1337618673242,163.13395665378897
284,1,- Location 284,2,2,354,227.8327924972669,227.83311075502394
284,1,- Location 284,1,2,355,254.93232375645042,254.93265359384526
368,1,- Location 368,1,1,364,161.72274688597628,161.72300119836794
368,1,- Location 368,1,1,365,191.17936289609992,191.17962570024298
2091,1,- Location 2091,2,1,376,149.27573609702202,149.27583521463197
2091,1,- Location 2091,2,1,377,130.06827485506213,130.06843371951376
398,1,- Location 398,1,1,408,391.45250347295985,391.45299458227765
285,1,- Location 285,1,1,409,558.496451099168,558.497123684878
285,1,- Location 285,2,1,410,636.5489536752198,636.5497861745768
285,1,- Location 285,2,1,416,630.7695305443128,630.7703232960259
285,1,- Location 285,2,1,417,651.4798586289832,651.4806796886861
1941,1,PARC OASIS - Location 1941,2,1,2045,366.79913504452395,366.79968393133265
340,1,- Location 340,2,2,2050,707.5580151829807,707.5591590389549
1941,1,PARC OASIS - Location 1941,1,1,2055,527.373430639926,527.3741837642298
1941,1,PARC OASIS - Location 1941,1,1,2056,318.77865899461557,318.7791725242885
291,1,- Location 291,1,2,2057,230.82901091994572,230.82933391277194
496,1,- Location 496,1,1,2058,177.8194414842893,177.81972402270878
495,1,- Location 495,1,2,2059,100.5228973814749,100.5230861156661
291,1,- Location 291,1,1,2063,298.3677020599405,298.36820616103483
496,1,- Location 496,1,1,2064,268.4957951949235,268.496238477495
291,1,- Location 291,2,2,2067,96.66472455570721,96.66481551639285
291,1,- Location 291,1,1,2068,335.95530434908636,335.95581994309066
1109,1,- Location 1109,2,1,2069,155.2580247414974,155.2582599039946
2957,1,- Location 2957,1,1,2072,85.19007326527498,85.19019589289735
289,1,- Location 289,1,1,2078,132.2564680305477,132.25661951774381
289,1,- Location 289,2,1,2079,182.37956301718464,182.3798100973899
2736,1,- Location 2736,2,1,2080,127.10634006745462,127.10649377105486
2957,1,- Location 2957,1,1,2085,372.4930211045826,372.49353017231726
2736,1,- Location 2736,2,1,2086,173.84451481873376,173.84476121419806
368,1,- Location 368,1,2,2091,237.87704645461957,237.87728044210422
2471,1,- Location 2471,2,2,2092,247.76199146897926,247.76227667510054
2471,1,- Location 2471,1,2,2093,250.30132686225954,250.3016730976489
2471,1,- Location 2471,1,2,2094,284.65715276072973,284.6575289712284
284,1,- Location 284,1,2,2095,289.36976399617515,289.37015010186354
2766,1,- Location 2766,1,2,2096,44.46239819705538,44.4624409820019
284,1,- Location 284,2,2,2101,265.36763717213955,265.36797638578236
284,1,- Location 284,2,2,2102,107.24468727414981,107.2448317710764
2471,1,- Location 2471,1,2,2106,614.3323703895074,614.3332270029158
285,1,- Location 285,2,1,2107,461.8660388998286,461.8666433350171
368,1,- Location 368,1,2,2117,87.03224804757409,87.03234858637536
368,1,- Location 368,1,2,2118,94.33707883900199,94.33719220647095
368,1,- Location 368,1,1,2119,235.927034130389,235.9273522142293
2471,1,- Location 2471,1,2,2120,600.8063235416056,600.8070710892325
2411,1,- Location 2411,1,1,2121,266.4201580680696,266.42045417160665
367,1,- Location 367,1,1,2130,237.3263331795982,237.32665167053344
285,1,- Location 285,2,1,2131,325.8070907303458,325.80747399040064
367,1,- Location 367,2,1,2143,352.30793454184,352.30838020040176
285,1,- Location 285,2,1,2144,527.2361214585238,527.2368367558792
285,1,- Location 285,2,1,2158,566.6030524310684,566.6037383352125
285,1,- Location 285,2,1,2159,466.4577300191019,466.4583371407869
398,1,- Location 398,1,1,2176,482.1981968388779,482.19873427777503
285,1,- Location 285,1,1,2177,565.9221646877752,565.9228535485692
291,1,- Location 291,2,2,3815,596.5027645176704,596.5035805014231
291,1,- Location 291,1,2,3817,217.45131537161774,217.4515499014562
291,1,- Location 291,1,2,3822,187.10049497764965,187.10071706987875
1941,1,PARC OASIS - Location 1941,1,1,3823,494.6182337710173,494.6189559738025
1109,1,- Location 1109,2,2,3828,59.27824767842222,59.27837822105657
1110,1,- Location 1110,2,2,3829,27.13817483811825,27.138244066960006
496,1,- Location 496,1,1,3830,309.2814742176999,309.28195360424104
496,1,- Location 496,2,1,3831,248.10883092357102,248.10922148996792
495,1,- Location 495,2,2,3832,74.89623491100897,74.89638611482866
291,1,- Location 291,1,2,3836,224.41831101906467,224.41860114792732
1109,1,WESTMERE - Location 1109,1,1,3837,236.22229558031285,236.2226292256892
1109,1,WESTMERE - Location 1109,1,1,3838,124.500494442266,124.5006747063419
1109,1,WESTMERE - Location 1109,2,1,3839,124.500494442266,124.5006747063419
496,1,- Location 496,2,1,3840,96.61775760351777,96.6179594047062
291,1,- Location 291,2,2,3843,77.81759859682111,77.8176641307981
291,1,- Location 291,2,1,3844,10.759116073946107,10.759166693943756
291,1,- Location 291,1,1,3845,217.5616779764627,217.56199422538032
2930,1,- Location 2930,2,2,3846,139.8974462814055,139.89768498519788
496,1,- Location 496,2,2,3847,135.8176583387019,135.8178669042856
289,1,- Location 289,1,1,3851,233.45444197144525,233.4547816907081
1135,1,IVORY HEIGHTS - Location 1135,2,1,3852,292.80868949860906,292.80906200247597
496,1,- Location 496,2,2,3853,104.09030667778792,104.09042051131732
2957,1,- Location 2957,2,1,3857,206.482411821943,206.48271476420294
