X,Y,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSFLO,ADDRESSPOS,ADDRESSSTR,DESCRIPTIO,HYPERLINK,NAME,PHOTOURL,ADDRESSUNI
103.737738399865634,1.343488124702876,91,254,,,600254,Jurong East Street 24,,,Blk 254 Jurong East Street 24,,
103.742746891945743,1.320831213754671,98,37A,,,601037,Teban Gardens Road,,,Blk 37A Teban Gardens Road,,
